lambda	RQE	A_r	A_fr	sigma_r	sigma_fr
484	0.69	0.01	0.02	74.80	49.60
486	0.69	0.01	0.02	74.80	49.60
488	0.69	0.01	0.02	74.80	49.60
490	0.70	0.01	0.02	74.80	44.90
492	0.70	0.01	0.02	68.70	45.20
494	0.70	0.01	0.02	68.70	41.60
496	0.70	0.01	0.02	68.70	41.60
498	0.71	0.01	0.02	68.70	36.90
500	0.71	0.01	0.02	68.70	36.90
502	0.71	0.01	0.02	77	36.50
504	0.71	0.01	0.02	77	37.60
506	0.72	0.01	0.01	77	32.90
508	0.72	0.01	0.01	77	32.90
510	0.72	0.01	0.01	77	32.90
512	0.72	0.01	0.01	77	32.90
514	0.73	0.02	0.01	88.40	33.30
516	0.73	0.02	0.01	93.70	27.30
518	0.73	0.02	0.01	110	26.40
520	0.73	0.02	0.01	110	26.40
522	0.74	0.02	0.01	109	26.30
524	0.74	0.02	0.01	122	30.90
526	0.75	0.02	0.01	130	30.40
528	0.75	0.02	0.01	130	30.40
530	0.76	0.02	0.01	137	30
532	0.77	0.03	0.01	153	29.20
534	0.78	0.03	0.01	168	28.40
536	0.80	0.03	0.01	168	28.40
538	0.81	0.03	0.02	186	32.90
540	0.82	0.04	0.02	202	32.10
542	0.83	0.04	0.02	221	33.30
544	0.84	0.04	0.02	239	32.30
546	0.85	0.05	0.02	252	35.20
548	0.86	0.05	0.02	270	34.30
550	0.87	0.05	0.02	304	39.30
552	0.88	0.06	0.02	311	39
554	0.88	0.06	0.02	343	37.30
556	0.89	0.07	0.02	369	43.90
558	0.90	0.07	0.02	403	42.10
560	0.91	0.08	0.03	421	45.80
562	0.91	0.08	0.03	435	45.10
564	0.92	0.08	0.D3	468	49.90
566	0.93	0.09	0.03	504	55.60
568	0.93	0.09	0.03	523	54.60
570	0.94	0.10	0.03	560	61.30
572	0.94	0.11	0.03	595	59.50
574	0.95	0.11	0.04	640	65.80
576	0.95	0.12	0.04	679	69.50
578	0.96	0.13	0.04	735	73.10
580	0.96	0.14	0.04	789	76.70
582	0.97	0.15	0.05	844	80.70
584	0.97	0.16	0.05	908	84.20
586	0.98	0.17	0.04	967	93
588	0.98	0.19	0.06	1052	95.10
590	0.99	0.20	0.06	1122	99.70
592	0.99	0.21	0.06	1201	110
594	0.99	0.23	0.07	1304	121
596	1.00	0.25	0.07	1381	124
598	1.00	0.26	0.08	1477	136
600	1.00	0.28	0.09	1576	146
602	1	0.03	0.09	1665	148
604	1	0.31	0.09	1745	157
606	1	0.32	0.10	1815	161
608	1	0.34	0.10	1894	171
610	1	0.35	0.10	1950	179
612	1	0.36	0.11	2015	192
614	1	0.37	0.11	2063	199
616	1	0.38	0.12	2104	212
618	1	0.38	0.12	2141	218
620	1	0.39	0.13	2184	232
622	1	0.40	0.14	2247	244
624	1.00	0.41	0.14	2303	257
626	1.00	0.42	0.15	2361	269
628	0.99	0.44	0.15	2454	282
630	0.99	0.45	0.16	2540	301
632	0.99	0.47	0.17	2657	321
634	0.98	0.50	0.18	2803	333
636	0.97	0.52	0.19	2917	352
638	0.97	0.55	0.20	3070	376
640	0.96	0.57	0.21	3220	396
642	0.95	0.61	0.22	3418	416
644	0.95	0.64	0.23	3613	439
646	0.95	0.68	0.25	3791	460
648	0.94	0.71	0.26	3982	485
650	0.94	0.76	0.27	4242	510
652	0.94	0.79	0.28	4444	531
654	0.93	0.83	0.30	4624	558
656	0.93	0.87	0.31	4887	587
658	0.93	0.91	0.33	5089	611
660	0.93	0.94	0.34	5250	634
662	0.93	0.97	0.35	5417	660
664	0.93	0.99	0.36	5535	680
666	0.93	1	0.37	5601	705
668	0.93	1.00	0.38	5582	724
670	0.93	0.99	0.38	5519	740
672	0.92	0.95	0.39	5322	754
674	0.92	0.91	0.39	5115	765
676	0.90	0.85	0.39	4764	784
678	0.88	0.78	0.38	4378	798
680	0.84	0.72	0.38	4052	809
682	0.80	0.64	0.38	3594	826
684	0.76	0.56	0.38	3119	842
686	0.71	0.48	0.37	2689	857
688	0.66	0.41	0.37	2307	878
690	0.61	0.34	0.37	1906	899
692	0.57	0.28	0.37	1563	917
694	0.53	0.23	0.38	1276	942
696	0.50	0.18	0.38	1014	965
698	0.47	0.14	0.39	809	994
700	0.44	0.12	0.40	649	1027
702	0.41	0.09	0.40	527	1054
704	0.39	0.08	0.41	427	1089
706	0.37	0.06	0.43	331	1125
708	0.34	0.05	0.43	277	1151
710	0.32	0.04	0.45	236	1195
712	0.31	0.03	0.46	187	1232
714	0.29	0.03	0.48	169	1268
716	0.27	0.03	0.49	147	1298
718	0.25	0.02	0.50	135	1337
720	0.24	0.02	0.51	117	1374
722	0.22	0.02	0.53	103	1405
724	0.21	0.02	0.54	103	1438
726	0.19	0.02	0.55	92.10	1459
728	0.18	0.02	0.55	92.10	1483
730	0.16	0.01	0.56	80.80	1502
732	0.14	0.01	0.56	80.80	1508
734	0.13	0.01	0.56	73.30	1513
736	0.12	0.0l	0.56	73.30	1505
738	0.10	0.01	0.56	73.30	1488
740	0.09	0.01	0.55	73.30	1467
742	0.08	0.01	0.54	73.30	1435
744	0.07	0.01	0.52	73.30	1394
746	0.06	0.01	0.50	73.30	1338
748	0.06	0.01	0.48	61.90	1281
750	0.04	0.01	0.45	61.90	1209
752	0.04	0.0l	0.42	61.90	1132
754	0.03	0.01	0.40	61.90	1056
756	0.03	0.01	0.37	61.90	983
758	0.03	0.0l	0.34	61.90	903
760	0.03	0.01	0.31	61.90	839
762	0.02	0.01	0.28	61.90	738
764	0.02	0.01	0.25	61.90	677
766	0.02	0.01	0.23	61.90	616
768	0.02	0.01	0.20	61.90	539
770	0.01	0.01	0.18	49.80	475
772	0.0l	0.01	0.16	49.80	422
774	0.01	0.01	0.14	49.80	367
776	0.01	0.01	0.12	49.80	322
778	0.01	0.01	0.11	49.80	287
780	0.01	0.01	0.09	49.80	248
782	0.01	0.01	0.08	49.80	224
784	0.00	0.01	0.07	49.80	196
786	0.00	0.01	0.07	49.80	177
788	0.00	0.01	0.06	49.80	153
790	0.00	0.01	0.05	49.80	138
792	0.00	0.01	0.05	49.80	130
794	0.00	0.01	0.04	49.80	117
796	0.00	0.01	0.04	49.80	102
798	0.00	0.01	0.04	49.80	92.20
800	0.00	0.01	0.04	49.80	92.20
